database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
Georgetown Hoyas,46,Georgetown,Georgetown Hoyas,100,9,Unknown
UIC,82,UIC,UIC Flames,100,9,Unknown
Alabama Crimson Tide,333,Alabama,Alabama Crimson Tide,100,9,Unknown
Milwaukee,270,Milwaukee,Milwaukee Panthers,100,9,Unknown
Tennessee State,2634,Tennessee St,Tennessee State Tigers,100,9,Unknown
Houston Christian,2277,Hou Christian,Houston Christian Huskies,100,9,Unknown
Mississippi State,344,Mississippi St,Mississippi State Bulldogs,100,9,Unknown
Creighton,156,Creighton,Creighton Bluejays,100,9,Unknown
Davidson,2166,Davidson,Davidson Wildcats,100,9,Unknown
Ohio,195,Ohio,Ohio Bobcats,100,9,Unknown
Missouri State,2623,Missouri St,Missouri State Bears,100,9,Unknown
UNLV,2439,UNLV,UNLV Rebels,100,9,Unknown
South Carolina Gamecocks,2579,South Carolina,South Carolina Gamecocks,100,9,Unknown
Syracuse Orange,183,Syracuse,Syracuse Orange,100,9,Unknown
Liberty,2335,Liberty,Liberty Flames,100,9,Unknown
Ole Miss,145,Ole Miss,Ole Miss Rebels,100,9,Unknown
Saint Louis,139,Saint Louis,Saint Louis Billikens,100,9,Unknown
Long Island University,112358,Long Island,Long Island University Sharks,100,9,Unknown
Delaware Blue Hens,48,Delaware,Delaware Blue Hens,100,9,Unknown
UT Rio Grande Valley Vaqueros,292,UT Rio Grande,UT Rio Grande Valley Vaqueros,100,9,Unknown
Nicholls State,2447,Nicholls,Nicholls Colonels,80,9,Unknown
North Carolina A&T,2448,NC A&T,North Carolina A&T Aggies,100,9,Unknown
Central Connecticut,2115,C Connecticut,Central Connecticut Blue Devils,100,9,Unknown
Valparaiso Beacons,2674,Valparaiso,Valparaiso Beacons,100,9,Unknown
Sacred Heart Pioneers,2529,Sacred Heart,Sacred Heart Pioneers,100,9,Unknown
Oklahoma,201,Oklahoma,Oklahoma Sooners,100,9,Unknown
Toledo,2649,Toledo,Toledo Rockets,100,9,Unknown
UTSA,2636,UTSA,UTSA Roadrunners,100,9,Unknown
Middle Tennessee,2393,MTSU,Middle Tennessee Blue Raiders,100,9,Unknown
UC San Diego Tritons,28,UC San Diego,UC San Diego Tritons,100,9,Unknown
UCF,2116,UCF,UCF Knights,100,9,Unknown
Northwestern,77,Northwestern,Northwestern Wildcats,100,9,Unknown
Michigan State,127,Michigan St,Michigan State Spartans,100,9,Unknown
Utah State,328,Utah State,Utah State Aggies,100,9,Unknown
Northern Iowa,2460,Northern Iowa,Northern Iowa Panthers,100,9,Unknown
San Diego Toreros,301,San Diego,San Diego Toreros,100,9,Unknown
Oregon Ducks,2483,Oregon,Oregon Ducks,100,9,Unknown
Stanford Cardinal,24,Stanford,Stanford Cardinal,100,9,Unknown
Oklahoma State,197,Oklahoma St,Oklahoma State Cowboys,100,9,Unknown
Louisiana Tech,2348,Louisiana Tech,Louisiana Tech Bulldogs,100,8,Unknown
UTEP,2638,UTEP,UTEP Miners,100,8,Unknown
Campbell Fighting,2097,Campbell,Campbell Fighting Camels,80,8,Unknown
Arkansas-Pine Bluff,2029,AR-Pine Bluff,Arkansas-Pine Bluff Golden Lions,100,8,Unknown
Virginia-Lynchburg,258,Virginia,Virginia Cavaliers,80,8,Unknown
Virginia Commonwealth,2670,VCU,Virginia Cavaliers,100,8,Unknown
Illinois,356,Illinois,Illinois Fighting Illini,100,8,Unknown
Marist Red Foxes,2368,Marist,Marist Red Foxes,100,8,Unknown
Saint Peter's,2612,Saint Peter's,Saint Peter's Peacocks,100,8,Unknown
Portland State,2502,Portland St,Portland State Vikings,100,8,Unknown
The Citadel,2643,The Citadel,The Citadel Bulldogs,100,8,Unknown
Florida International,2229,FIU,Florida International Panthers,100,8,Unknown
UC Davis,302,UC Davis,UC Davis Aggies,100,8,Unknown
Arizona,12,Arizona,Arizona Wildcats,100,8,Unknown
San Diego State,21,San Diego St,San Diego State Aztecs,100,8,Unknown
SMU,2567,SMU,SMU Mustangs,100,8,Unknown
Maine,311,Maine,Maine Black Bears,100,8,Unknown
Memphis,235,Memphis,Memphis Tigers,100,8,Unknown
Dartmouth Big Green,159,Dartmouth,Dartmouth Big Green,100,8,Unknown
Jacksonville State,55,Jax State,Jacksonville State Gamecocks,100,8,Unknown
St. John's,2599,St John's,St. John's Red Storm,100,8,Unknown
New Mexico State,166,New Mexico St,New Mexico State Aggies,100,8,Unknown
Grambling State,2755,Grambling,Grambling Tigers,80,7,Unknown
Texas Southern,2640,Texas Southern,Texas Southern Tigers,100,7,Unknown
Florida A&M Rattlers,50,Florida A&M,Florida A&M Rattlers,100,7,Unknown
Seattle,2547,Seattle U,Seattle U Redhawks,80,7,Unknown
SE Louisiana,2545,SE Louisiana,SE Louisiana Lions,100,6,Unknown
Alabama A&M,2010,Alabama A&M,Alabama A&M Bulldogs,100,5,Unknown
Maine Black,311,Maine,Maine Black Bears,80,4,Unknown
Penn State-Shenango,213,Penn State,Penn State Nittany Lions,80,4,Unknown
New Mexico Highlands,167,New Mexico,New Mexico Lobos,80,3,Unknown
Arkansas-Pine Bluff Golden,8,Arkansas,Arkansas Razorbacks,80,3,Unknown
Kentucky Christian,96,Kentucky,Kentucky Wildcats,80,3,Unknown
Southeastern Louisiana,2545,SE Louisiana,Louisiana Ragin' Cajuns,100,3,Unknown
Vermont State - Johnson,261,Vermont,Vermont Catamounts,80,3,Unknown
